module_name,instance_name,pin_name,pin_category,current_pin_status,has_pins_json_entry,has_label,has_shape_bbox,has_layer,can_extract_from_gds,can_synthesize_for_current_generator,blocks_wl_bl_control_power_or_top_pin,required_fix_stage,recommended_fix
bitcell_array,bitcell_array_inst,BL[0],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BL[1],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BL[2],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BL[3],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BR[0],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BR[1],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BR[2],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
bitcell_array,bitcell_array_inst,BR[3],BITLINE,CONTRACT_ONLY_PIN,True,False,False,True,False,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
column_mux,column_mux_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
precharge,precharge_inst,bl/br,BITLINE,LABEL_ONLY_PIN,True,True,False,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
sense_amp,sense_amp_inst,bl/br,BITLINE,GEOMETRY_BACKED_PIN,True,True,True,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
sense_amp,sense_amp_inst,bl/br,BITLINE,GEOMETRY_BACKED_PIN,True,True,True,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
sense_amp,sense_amp_inst,bl/br,BITLINE,GEOMETRY_BACKED_PIN,True,True,True,True,True,True,BITLINE,C2/C4,"Extract BL/BR, mux, sense amp, and write-driver access shapes and replace aggregate bitline contracts."
